framework,endpoint,concurrency,runs_collected,total_requests_median,response_time_median_ms,response_time_avg_ms,response_time_min_ms,response_time_max_ms,throughput_median_rps,throughput_mean_rps,throughput_stdev_rps,p95_median_ms,p99_median_ms,error_rate_median_pct
flask,inference,1,5,19,2900.0,2974.883,2617.258,3578.26,0.336,0.338,0.009,3600.0,3600.0,0.0
flask,inference,5,5,20,14000.0,13149.51,2977.98,15338.123,0.344,0.34,0.011,15000.0,15000.0,0.0
flask,inference,10,5,20,28000.0,22168.582,2939.049,29331.791,0.345,0.336,0.021,29000.0,29000.0,0.0
flask,inference,25,5,20,29000.0,30429.211,2918.394,57954.987,0.338,0.339,0.001,58000.0,58000.0,0.0
flask,inference,50,5,20,29000.0,30462.866,2937.732,57991.127,0.335,0.336,0.002,58000.0,58000.0,0.0
flask,inference,100,5,20,29000.0,30450.177,2944.52,57951.382,0.334,0.334,0.003,58000.0,58000.0,0.0
flask,stream,1,5,20,2800.0,2910.778,2601.089,5330.83,0.339,0.33,0.017,5300.0,5300.0,0.0
flask,stream,5,5,20,14000.0,12806.924,2916.066,14883.174,0.346,0.346,0.01,15000.0,15000.0,0.0
flask,stream,10,5,20,28000.0,22229.793,2827.737,29231.047,0.345,0.34,0.011,29000.0,29000.0,0.0
flask,stream,25,5,24,29000.0,30300.003,2445.947,58154.087,0.404,0.403,0.005,56000.0,58000.0,0.0
flask,stream,50,5,24,29000.0,30304.052,2473.25,58153.009,0.402,0.403,0.005,56000.0,58000.0,0.0
flask,stream,100,5,24,29000.0,30320.672,2492.12,58172.464,0.406,0.406,0.003,56000.0,58000.0,0.0
flask,pipeline,1,5,20,2700.0,2831.514,2587.131,3630.52,0.346,0.344,0.008,3600.0,3600.0,0.0
flask,pipeline,5,5,20,14000.0,13096.407,2844.081,15810.47,0.343,0.334,0.027,16000.0,16000.0,0.0
flask,pipeline,10,5,20,28000.0,22875.432,2805.511,30781.268,0.336,0.335,0.014,31000.0,31000.0,0.0
flask,pipeline,25,5,20,29000.0,30961.701,2970.442,58970.699,0.331,0.332,0.002,59000.0,59000.0,0.0
flask,pipeline,50,5,20,30000.0,30973.475,2985.689,58985.407,0.332,0.333,0.002,59000.0,59000.0,0.0
flask,pipeline,100,5,20,30000.0,30997.504,3006.486,58990.338,0.333,0.333,0.0,59000.0,59000.0,0.0
django,inference,1,5,19,2900.0,3008.619,2570.712,3949.612,0.332,0.332,0.015,3900.0,3900.0,0.0
django,inference,5,5,20,14000.0,13197.439,2898.529,16571.606,0.341,0.339,0.009,17000.0,17000.0,0.0
django,inference,10,5,20,29000.0,22715.586,3214.432,29999.373,0.341,0.341,0.006,30000.0,30000.0,0.0
django,inference,25,5,20,29000.0,30452.34,2918.52,57988.993,0.345,0.344,0.001,58000.0,58000.0,0.0
django,inference,50,5,20,29000.0,30460.677,2932.33,57997.902,0.342,0.343,0.002,58000.0,58000.0,0.0
django,inference,100,5,20,29000.0,30483.434,2955.907,58014.977,0.344,0.343,0.002,58000.0,58000.0,0.0
django,stream,1,5,19,2900.0,2961.01,2653.178,4013.711,0.338,0.331,0.015,4000.0,4000.0,0.0
django,stream,5,5,19,14000.0,13234.74,2919.032,15975.673,0.334,0.332,0.012,16000.0,16000.0,0.0
django,stream,10,5,20,29000.0,22674.778,3055.533,30440.835,0.339,0.339,0.007,30000.0,30000.0,0.0
django,stream,25,5,24,29000.0,30315.274,2445.457,58193.127,0.412,0.412,0.0,56000.0,58000.0,0.0
django,stream,50,5,24,29000.0,30334.086,2467.945,58227.994,0.412,0.412,0.0,56000.0,58000.0,0.0
django,stream,100,5,24,29000.0,30348.769,2491.497,58201.606,0.412,0.412,0.0,56000.0,58000.0,0.0
django,pipeline,1,5,19,2800.0,2974.464,2560.485,3907.974,0.333,0.32,0.043,3900.0,3900.0,0.0
django,pipeline,5,5,19,14000.0,13223.901,4038.099,16623.979,0.336,0.314,0.046,17000.0,17000.0,0.0
django,pipeline,10,5,19,28000.0,23238.194,3423.954,31880.236,0.334,0.335,0.009,32000.0,32000.0,0.0
django,pipeline,25,5,20,29000.0,30967.21,2964.714,58970.41,0.339,0.339,0.0,59000.0,59000.0,0.0
django,pipeline,50,5,20,30000.0,30990.154,2992.835,58994.989,0.339,0.339,0.0,59000.0,59000.0,0.0
django,pipeline,100,5,20,30000.0,30994.245,3004.521,58986.325,0.339,0.339,0.0,59000.0,59000.0,0.0
fastapi,inference,1,5,20,2800.0,2829.86,2540.729,3340.943,0.353,0.355,0.005,3300.0,3300.0,0.0
fastapi,inference,5,5,97,2800.0,2962.116,2370.841,7047.971,1.658,1.654,0.024,4000.0,7000.0,0.0
fastapi,inference,10,5,196,2800.0,2940.481,2360.626,7170.3,3.349,3.351,0.036,3800.0,5900.0,0.0
fastapi,inference,25,5,425,3400.0,3363.347,3277.721,3465.271,7.371,7.375,0.09,3400.0,3500.0,0.0
fastapi,inference,50,5,750,3800.0,3828.244,3523.649,4125.739,12.777,12.778,0.626,4100.0,4100.0,0.0
fastapi,inference,100,5,1300,4500.0,4529.285,4109.488,4845.751,21.739,21.525,0.573,4800.0,4800.0,0.0
fastapi,stream,1,5,20,2700.0,2844.785,2475.611,3897.411,0.351,0.35,0.006,3900.0,3900.0,0.0
fastapi,stream,5,5,99,2800.0,2922.693,2433.016,5071.361,1.685,1.698,0.037,3600.0,5000.0,0.0
fastapi,stream,10,5,193,2800.0,2989.002,2356.805,6583.562,3.278,3.297,0.109,3900.0,6200.0,0.0
fastapi,stream,25,5,530,2800.0,2752.552,2426.608,2923.652,8.875,8.822,0.148,2900.0,2900.0,0.0
fastapi,stream,50,5,918,3200.0,3159.291,2425.709,3396.467,15.467,15.475,0.726,3300.0,3400.0,0.0
fastapi,stream,100,5,1448,4000.0,3948.166,2427.68,4458.451,24.73,24.632,1.343,4300.0,4400.0,0.0
fastapi,pipeline,1,5,20,2700.0,2878.313,2456.182,4387.719,0.342,0.342,0.017,4000.0,4400.0,0.0
fastapi,pipeline,5,5,99,2700.0,2858.197,2430.468,5294.167,1.685,1.691,0.018,3700.0,5200.0,0.0
fastapi,pipeline,10,5,199,2700.0,2879.931,2416.615,6926.514,3.344,3.341,0.022,3500.0,6300.0,0.0
fastapi,pipeline,25,5,425,3300.507,3325.437,3300.507,3388.01,7.371,7.427,0.169,3400.0,3400.0,0.0
fastapi,pipeline,50,5,751,3700.0,3700.831,3641.495,3780.833,13.401,13.31,0.158,3800.0,3800.0,0.0
fastapi,pipeline,100,5,1300,4400.0,4361.009,3152.835,4788.414,21.893,21.595,0.99,4700.0,4700.0,0.0
tornado,inference,1,5,19,2800.0,3049.846,2396.226,4669.859,0.322,0.323,0.008,4700.0,4700.0,0.0
tornado,inference,5,5,98,2700.0,2888.335,2326.704,6753.538,1.626,1.649,0.068,3700.0,6800.0,0.0
tornado,inference,10,5,205,2700.0,2808.564,2324.666,6181.699,3.378,3.379,0.052,3400.0,4600.0,0.0
tornado,inference,25,5,431,3300.0,3286.493,2921.266,3443.445,7.37,7.401,0.146,3400.0,3400.0,0.0
tornado,inference,50,5,767,3800.0,3754.754,2896.519,4188.928,12.815,12.808,0.093,4000.0,4100.0,0.0
tornado,inference,100,5,1281,4600.0,4463.338,2897.519,5277.992,21.408,21.601,0.534,5200.0,5300.0,0.0
tornado,stream,1,5,21,2700.0,2800.997,2427.626,3690.832,0.352,0.354,0.01,3400.0,3700.0,0.0
tornado,stream,5,5,102,2700.0,2831.912,2279.074,5998.864,1.691,1.692,0.031,3500.0,4900.0,0.0
tornado,stream,10,5,205,2700.0,2803.365,2271.298,6421.974,3.383,3.381,0.038,3400.0,4800.0,0.0
tornado,stream,25,5,534,2800.0,2701.504,2426.106,2901.978,8.998,8.922,0.385,2900.0,2900.0,0.0
tornado,stream,50,5,927,3100.0,3088.885,2428.045,3648.532,15.794,15.731,0.405,3500.0,3600.0,0.0
tornado,stream,100,5,1357,4200.0,4126.265,2443.163,5118.577,23.845,24.102,1.472,4800.0,5100.0,0.0
tornado,pipeline,1,5,20,2800.0,2767.041,2433.272,3509.29,0.353,0.347,0.013,3300.0,3500.0,0.0
tornado,pipeline,5,5,101,2700.0,2860.844,2343.026,6316.162,1.674,1.675,0.026,3600.0,6300.0,0.0
tornado,pipeline,10,5,207,2700.0,2794.003,2293.683,6564.972,3.426,3.395,0.072,3500.0,4300.0,0.0
tornado,pipeline,25,5,425,3301.555,3325.864,3301.555,3354.78,7.511,7.504,0.018,3300.0,3400.0,0.0
tornado,pipeline,50,5,750,3700.0,3701.624,3668.467,3754.197,13.493,13.493,0.024,3700.0,3800.0,0.0
tornado,pipeline,100,5,1400,4100.0,4130.771,3335.093,5113.237,23.855,23.289,1.298,4600.0,4700.0,0.0
